date      	time	Q	Flag
2003-01-01	0:00	2.265344	C
2003-01-02	0:00	2.2370272	C
2003-01-03	0:00	2.0388096	C
2003-01-04	0:00	2.4352448	C
2003-01-05	0:00	2.12376	C
2003-01-06	0:00	2.0671264	C
2003-01-07	0:00	2.12376	C
2003-01-08	0:00	2.2370272	C
2003-01-09	0:00	1.6706912	C
2003-01-10	0:00	1.132672	C
2003-01-11	0:00	1.0194048	C
2003-01-12	0:00	0.991088	C
2003-01-13	0:00	1.1043552	C
2003-01-14	0:00	0.991088	C
2003-01-15	0:00	0.9627712	C
2003-01-16	0:00	1.3025728	C
2003-01-17	0:00	1.0760384	C
2003-01-18	0:00	0.991088	C
2003-01-19	0:00	1.0194048	C
2003-01-20	0:00	1.3025728	C
2003-01-21	0:00	1.1893056	C
2003-01-22	0:00	1.1043552	C
2003-01-23	0:00	0.9627712	C
2003-01-24	0:00	1.2176224	C
2003-01-25	0:00	0.8778208	C
2003-01-26	0:00	0.6229696	C
2003-01-27	0:00	0.7362368	C
2003-01-28	0:00	1.0194048	C
2003-01-29	0:00	0.7928704	C
2003-01-30	0:00	1.0194048	C
2003-01-31	0:00	1.1609888	C
2003-02-01	0:00	1.557424	C
2003-02-02	0:00	1.5857408	C
2003-02-03	0:00	1.5291072	C
2003-02-04	0:00	1.3025728	C
2003-02-05	0:00	1.274256	C
2003-02-06	0:00	1.1893056	C
2003-02-07	0:00	0.9061376	C
2003-02-08	0:00	1.0194048	C
2003-02-09	0:00	0.9061376	C
2003-02-10	0:00	0.9061376	C
2003-02-11	0:00	1.0194048	C
2003-02-12	0:00	0.849504	C
2003-02-13	0:00	1.0477216	C
2003-02-14	0:00	1.2176224	C
2003-02-15	0:00	1.0760384	C
2003-02-16	0:00	0.9344544	C
2003-02-17	0:00	1.1043552	C
2003-02-18	0:00	1.3875232	C
2003-02-19	0:00	1.3025728	C
2003-02-20	0:00	1.557424	C
2003-02-21	0:00	1.5007904	C
2003-02-22	0:00	1.3592064	C
2003-02-23	0:00	1.2459392	C
2003-02-24	0:00	1.0477216	C
2003-02-25	0:00	0.9627712	C
2003-02-26	0:00	1.1609888	C
2003-02-27	0:00	1.3733648	C
2003-02-28	0:00	1.27142432	C
2003-03-01	0:00	1.22611744	C
2003-03-02	0:00	0.9344544	C
2003-03-03	0:00	1.01657312	C
2003-03-04	0:00	1.05904832	C
2003-03-05	0:00	0.9344544	C
2003-03-06	0:00	1.2176224	C
2003-03-07	0:00	1.3025728	C
2003-03-08	0:00	1.0194048	C
2003-03-09	0:00	0.8211872	C
2003-03-10	0:00	0.991088	C
2003-03-11	0:00	1.274256	C
2003-03-12	0:00	1.3875232	C
2003-03-13	0:00	1.3167312	C
2003-03-14	0:00	1.48096864	C
2003-03-15	0:00	1.6706912	C
2003-03-16	0:00	1.982176	C
2003-03-17	0:00	3.1714816	C
2003-03-18	0:00	3.9360352	C
2003-03-19	0:00	3.5679168	C
2003-03-20	0:00	4.0776192	C
2003-03-21	0:00	3.8794016	C
2003-03-22	0:00	3.0582144	C
2003-03-23	0:00	2.63912576	C
2003-03-24	0:00	2.49471008	C
2003-03-25	0:00	2.42674976	C
2003-03-26	0:00	2.35595776	C
2003-03-27	0:00	3.0865312	C
2003-03-28	0:00	13.3938464	C
2003-03-29	0:00	15.5176064	C
2003-03-30	0:00	13.0823616	C
2003-03-31	0:00	11.043552	C
2003-04-01	0:00	8.1835552	C
2003-04-02	0:00	7.2774176	C
2003-04-03	0:00	6.5978144	C
2003-04-04	0:00	6.4279136	C
2003-04-05	0:00	6.2013792	C
2003-04-06	0:00	5.8615776	C
2003-04-07	0:00	5.804944	C
2003-04-08	0:00	6.0597952	C
2003-04-09	0:00	5.9182112	C
2003-04-10	0:00	7.2491008	C
2003-04-11	0:00	11.751472	C
2003-04-12	0:00	12.9407776	C
2003-04-13	0:00	12.5160256	C
2003-04-14	0:00	11.7231552	C
2003-04-15	0:00	11.2417696	C
2003-04-16	0:00	11.4116704	C
2003-04-17	0:00	13.5637472	C
2003-04-18	0:00	13.7619648	C
2003-04-19	0:00	13.6486976	C
2003-04-20	0:00	15.3193888	C
2003-04-21	0:00	16.4803776	C
2003-04-22	0:00	15.857408	C
2003-04-23	0:00	14.6964192	C
2003-04-24	0:00	13.3938464	C
2003-04-25	0:00	12.2045408	C
2003-04-26	0:00	10.9869184	C
2003-04-27	0:00	10.0807808	C
2003-04-28	0:00	9.2595936	C
2003-04-29	0:00	8.6083072	C
2003-04-30	0:00	8.4667232	C
2003-05-01	0:00	8.8348416	C
2003-05-02	0:00	8.6083072	C
2003-05-03	0:00	8.353456	C
2003-05-04	0:00	10.5904832	C
2003-05-05	0:00	33.696992	C
2003-05-06	0:00	41.625696	C
2003-05-07	0:00	39.077184	C
2003-05-08	0:00	35.679168	C
2003-05-09	0:00	44.740544	C
2003-05-10	0:00	44.740544	C
2003-05-11	0:00	51.253408	C
2003-05-12	0:00	52.102912	C
2003-05-13	0:00	45.590048	C
2003-05-14	0:00	37.944512	C
2003-05-15	0:00	40.493024	C
2003-05-16	0:00	41.05936	C
2003-05-17	0:00	37.661344	C
2003-05-18	0:00	33.130656	C
2003-05-19	0:00	29.73264	C
2003-05-20	0:00	27.4389792	C
2003-05-21	0:00	25.060368	C
2003-05-22	0:00	22.9932416	C
2003-05-23	0:00	21.4075008	C
2003-05-24	0:00	19.7934432	C
2003-05-25	0:00	18.0944352	C
2003-05-26	0:00	16.5370112	C
2003-05-27	0:00	15.1211712	C
2003-05-28	0:00	14.1017664	C
2003-05-29	0:00	13.1389952	C
2003-05-30	0:00	12.317808	C
2003-05-31	0:00	11.32672	C
2003-06-01	0:00	10.335632	C
2003-06-02	0:00	9.9675136	C
2003-06-03	0:00	9.8259296	C
2003-06-04	0:00	9.4578112	C
2003-06-05	0:00	9.1746432	C
2003-06-06	0:00	9.7126624	C
2003-06-07	0:00	11.6665216	C
2003-06-08	0:00	15.5459232	C
2003-06-09	0:00	19.0005728	C
2003-06-10	0:00	18.264336	C
2003-06-11	0:00	17.4997824	C
2003-06-12	0:00	16.4803776	C
2003-06-13	0:00	15.4892896	C
2003-06-14	0:00	14.0451328	C
2003-06-15	0:00	12.74256	C
2003-06-16	0:00	11.468304	C
2003-06-17	0:00	10.5621664	C
2003-06-18	0:00	9.91088	C
2003-06-19	0:00	9.061376	C
2003-06-20	0:00	8.1835552	C
2003-06-21	0:00	7.3906848	C
2003-06-22	0:00	7.2491008	C
2003-06-23	0:00	12.176224	C
2003-06-24	0:00	17.839584	C
2003-06-25	0:00	32.56432	C
2003-06-26	0:00	47.005888	C
2003-06-27	0:00	38.510848	C
2003-06-28	0:00	32.281152	C
2003-06-29	0:00	26.9292768	C
2003-06-30	0:00	21.8322528	C
2003-07-01	0:00	18.2077024	C
2003-07-02	0:00	15.6308736	C
2003-07-03	0:00	13.7053312	C
2003-07-04	0:00	12.9124608	C
2003-07-05	0:00	12.884144	C
2003-07-06	0:00	12.8275104	C
2003-07-07	0:00	13.6770144	C
2003-07-08	0:00	13.4787968	C
2003-07-09	0:00	17.4431488	C
2003-07-10	0:00	22.0587872	C
2003-07-11	0:00	23.4179936	C
2003-07-12	0:00	21.096016	C
2003-07-13	0:00	18.8023552	C
2003-07-14	0:00	16.9051296	C
2003-07-15	0:00	17.9245344	C
2003-07-16	0:00	17.3865152	C
2003-07-17	0:00	15.1778048	C
2003-07-18	0:00	13.6770144	C
2003-07-19	0:00	12.3744416	C
2003-07-20	0:00	10.9869184	C
2003-07-21	0:00	10.194048	C
2003-07-22	0:00	9.2312768	C
2003-07-23	0:00	8.4100896	C
2003-07-24	0:00	7.6738528	C
2003-07-25	0:00	6.796032	C
2003-07-26	0:00	6.2013792	C
2003-07-27	0:00	5.6916768	C
2003-07-28	0:00	5.1819744	C
2003-07-29	0:00	4.8421728	C
2003-07-30	0:00	4.5873216	C
2003-07-31	0:00	4.3041536	C
2003-08-01	0:00	4.1625696	C
2003-08-02	0:00	3.9360352	C
2003-08-03	0:00	3.7378176	C
2003-08-04	0:00	3.5962336	C
2003-08-05	0:00	3.4263328	C
2003-08-06	0:00	3.398016	C
2003-08-07	0:00	3.3696992	C
2003-08-08	0:00	3.2281152	C
2003-08-09	0:00	3.0298976	C
2003-08-10	0:00	3.0015808	C
2003-08-11	0:00	3.256432	C
2003-08-12	0:00	2.9449472	C
2003-08-13	0:00	2.72690784	C
2003-08-14	0:00	2.54568032	C
2003-08-15	0:00	2.52585856	C
2003-08-16	0:00	2.50320512	C
2003-08-17	0:00	2.34463104	C
2003-08-18	0:00	2.14358176	C
2003-08-19	0:00	2.05013632	C
2003-08-20	0:00	2.23985888	C
2003-08-21	0:00	2.14358176	C
2003-08-22	0:00	1.97084928	C
2003-08-23	0:00	1.95952256	C
2003-08-24	0:00	1.86607712	C
2003-08-25	0:00	1.71599808	C
2003-08-26	0:00	1.60839424	C
2003-08-27	0:00	1.58007744	C
2003-08-28	0:00	1.557424	C
2003-08-29	0:00	1.43566176	C
2003-08-30	0:00	1.40451328	C
2003-08-31	0:00	1.3308896	C
2003-09-01	0:00	1.29407776	C
2003-09-02	0:00	1.28275104	C
2003-09-03	0:00	1.18647392	C
2003-09-04	0:00	1.18647392	C
